id;spkts;dpkts;sbytes;dbytes;sttl;dttl;sloss;dloss;swin;stcpb;dtcpb;dwin;tcprtt;synack;ackdat;smean;dmean;trans_depth;response_body_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;is_ftp_login;ct_ftp_cmd;ct_flw_http_mthd;ct_src_ltm;ct_srv_dst;is_sm_ips_ports;target
1;2;0;496;0;254;0;0;0;0;0;0;0;0;0;0;248;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
2;2;0;1762;0;254;0;0;0;0;0;0;0;0;0;0;881;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
3;2;0;1068;0;254;0;0;0;0;0;0;0;0;0;0;534;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;0
4;2;0;900;0;254;0;0;0;0;0;0;0;0;0;0;450;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;0
5;2;0;2126;0;254;0;0;0;0;0;0;0;0;0;0;1063;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;0
6;2;0;784;0;254;0;0;0;0;0;0;0;0;0;0;392;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;0
7;2;0;1960;0;254;0;0;0;0;0;0;0;0;0;0;980;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;0
8;2;0;1384;0;254;0;0;0;0;0;0;0;0;0;0;692;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;0
9;1;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
10;1;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
11;1;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
12;1;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
13;2;0;1454;0;254;0;0;0;0;0;0;0;0;0;0;727;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;0
14;2;0;2062;0;254;0;0;0;0;0;0;0;0;0;0;1031;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;0
15;2;0;2040;0;254;0;0;0;0;0;0;0;0;0;0;1020;0;0;0;1;2;1;1;1;1;0;0;0;1;1;0;0
16;2;0;1052;0;254;0;0;0;0;0;0;0;0;0;0;526;0;0;0;3;2;1;1;1;3;0;0;0;2;3;0;0
17;2;0;314;0;254;0;0;0;0;0;0;0;0;0;0;157;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
18;2;0;1774;0;254;0;0;0;0;0;0;0;0;0;0;887;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
19;2;0;1568;0;254;0;0;0;0;0;0;0;0;0;0;784;0;0;0;3;2;1;1;1;2;0;0;0;1;2;0;0
20;2;0;2054;0;254;0;0;0;0;0;0;0;0;0;0;1027;0;0;0;3;2;1;1;1;2;0;0;0;2;2;0;0
21;2;0;2170;0;254;0;0;0;0;0;0;0;0;0;0;1085;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
22;2;0;202;0;254;0;0;0;0;0;0;0;0;0;0;101;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
23;2;0;1334;0;254;0;0;0;0;0;0;0;0;0;0;667;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;0
24;2;0;2058;0;254;0;0;0;0;0;0;0;0;0;0;1029;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;0
25;2;0;286;0;254;0;0;0;0;0;0;0;0;0;0;143;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;0
26;2;0;1500;0;254;0;0;0;0;0;0;0;0;0;0;750;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;0
27;2;0;902;0;254;0;0;0;0;0;0;0;0;0;0;451;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;0
28;2;0;1626;0;254;0;0;0;0;0;0;0;0;0;0;813;0;0;0;2;2;1;1;1;1;0;0;0;2;1;0;0
29;2;0;364;0;254;0;0;0;0;0;0;0;0;0;0;182;0;0;0;3;2;1;1;1;1;0;0;0;2;2;0;0
30;10;6;530;268;254;252;2;1;255;1640845588;177111456;255;0.148966;0.079731;0.069235;53;45;0;0;2;1;1;1;1;1;0;0;0;1;1;0;0
31;2;0;730;0;254;0;0;0;0;0;0;0;0;0;0;365;0;0;0;2;2;1;1;1;2;0;0;0;2;2;0;0
32;10;8;530;354;254;252;2;1;255;2214319888;3374287000;255;0.185096;0.095516;0.08958;53;44;0;0;2;1;1;1;1;1;0;0;0;1;1;0;0
33;14;8;7954;354;254;252;4;1;255;3374744735;1063429159;255;0.144772;0.077744;0.067028;568;44;0;0;1;1;1;1;1;1;0;0;0;2;1;0;0
34;2;0;794;0;254;0;0;0;0;0;0;0;0;0;0;397;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;0
35;10;8;2516;354;254;252;2;1;255;783227300;772078300;255;0.221146;0.09657;0.124576;252;44;0;0;4;1;2;1;1;3;0;0;0;2;2;0;0
36;10;8;816;1172;62;252;2;2;255;794167371;1624757001;255;0.206572;0.108393;0.098179;82;147;1;184;2;1;1;1;1;2;0;0;1;1;3;0;0
37;10;6;534;268;254;252;2;1;255;3802396535;2514907206;255;0.162097;0.079909;0.082188;53;45;0;0;3;1;1;1;1;2;0;0;0;2;2;0;0
38;2;0;92;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
39;2;0;92;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
40;2;0;92;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
41;10;10;826;1266;62;252;2;2;255;708428911;3141441573;255;0.180318;0.103612;0.076706;83;127;1;187;2;1;1;1;1;2;0;0;1;1;3;0;0
42;2;0;92;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;0
43;10;6;534;268;254;252;2;1;255;1416292821;1856664256;255;0.226895;0.138291;0.088604;53;45;0;0;3;1;1;1;1;2;0;0;0;1;2;0;0
44;10;8;534;354;254;252;2;1;255;2545019062;3292860217;255;0.172317;0.069791;0.102526;53;44;0;0;5;1;1;1;1;3;0;0;0;1;3;0;0
45;10;8;2516;354;254;252;2;1;255;1381018516;1985881197;255;0.135361;0.079802;0.055559;252;44;0;0;2;1;1;1;1;2;0;0;0;1;3;0;0
46;10;8;830;1134;62;252;2;2;255;1853677305;1202418679;255;0.274887;0.128459;0.146428;83;142;1;165;1;1;1;1;1;1;0;0;1;3;1;0;0
47;10;6;534;268;254;252;2;1;255;2425182602;2706975732;255;0.221323;0.089865;0.131458;53;45;0;0;5;1;1;1;1;3;0;0;0;1;3;0;0
48;10;8;2516;354;254;252;2;1;255;3033763933;3509078729;255;0.195284;0.105903;0.089381;252;44;0;0;2;1;1;1;1;2;0;0;0;1;3;0;0
49;10;6;534;268;254;252;2;1;255;2868770840;4280658180;255;0.266426;0.107439;0.158987;53;45;0;0;5;1;1;1;1;3;0;0;0;2;3;0;0
50;10;10;804;1414;62;252;2;2;255;1528762476;1066585482;255;0.181441;0.084249;0.097192;80;141;1;261;2;1;18;1;1;2;0;0;1;1;2;0;0
51;10;6;534;268;254;252;2;1;255;740536776;1008520884;255;0.199328;0.120374;0.078954;53;45;0;0;2;1;1;1;1;2;0;0;0;1;2;0;0
52;10;8;2516;354;254;252;2;1;255;811780886;2226389848;255;0.21379;0.117396;0.096394;252;44;0;0;17;1;1;1;1;3;0;0;0;1;3;0;0
53;22;0;990;0;254;0;21;0;255;0;0;0;0;0;0;45;0;0;0;17;6;4;3;3;14;0;0;0;3;15;0;0
